1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3348	0.1994	0.2020	0.2301	0.4337	0.0000	0.0000	0.0000	0.0000	0.1403	0.2602	0.2043	0.1830	0.6122
2.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1582	0.4261	0.2140	0.0795	0.5222	0.0000	0.0000	0.0000	0.0000	0.2426	0.2147	0.2419	0.1909	0.5100
3.0000	0.0000	0.0000	0.1853	0.1567	0.0805	0.1784	0.1565	0.1075	0.0761	0.4590	0.0000	0.0859	0.1453	0.1592	0.0998	0.1764	0.0896	0.1789	0.4650
4.0000	0.0000	0.0000	0.0000	0.1069	0.1079	0.1285	0.1326	0.2017	0.1291	0.5933	0.0000	0.0000	0.0792	0.1372	0.1564	0.1613	0.1844	0.1619	0.5197
5.0000	0.0000	0.0000	0.0000	0.0000	0.1656	0.1040	0.3938	0.1670	0.0977	0.4719	0.0000	0.0000	0.0000	0.0939	0.1433	0.3192	0.2676	0.1327	0.4434
6.0000	0.1138	0.0814	0.1168	0.1137	0.0693	0.1153	0.1304	0.1272	0.0887	0.4435	0.1283	0.1408	0.1194	0.0908	0.0435	0.1277	0.1433	0.1298	0.4764
7.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2246	0.2413	0.2775	0.6565	0.0000	0.0000	0.0000	0.0000	0.0000	0.2114	0.2164	0.2909	0.6813
8.0000	0.0000	0.0000	0.0000	0.0000	0.0985	0.1436	0.1231	0.1193	0.3666	0.5489	0.0000	0.0000	0.0000	0.1699	0.1882	0.1213	0.0985	0.1558	0.6664
9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2830	0.2701	0.1586	0.1057	0.5827	0.0000	0.0000	0.0000	0.0000	0.1752	0.2752	0.2184	0.1873	0.5439
10.0000	0.0974	0.1060	0.1592	0.1384	0.0906	0.0665	0.1449	0.0666	0.0538	0.4766	0.1070	0.1212	0.1870	0.1446	0.0720	0.1233	0.1067	0.0809	0.4572
11.0000	0.0000	0.0000	0.0000	0.0000	0.1849	0.1870	0.1252	0.0887	0.3049	0.5093	0.0000	0.0000	0.0000	0.1744	0.1584	0.1602	0.1235	0.1718	0.6116
12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0892	0.1513	0.1771	0.3450	0.6374	0.0000	0.0000	0.0000	0.0000	0.1731	0.0966	0.2365	0.2246	0.6692
13.0000	0.0000	0.0000	0.0744	0.0908	0.0603	0.1230	0.2591	0.1560	0.1032	0.5333	0.0000	0.0715	0.0780	0.0862	0.0733	0.2178	0.2286	0.1233	0.5214
14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2148	0.1403	0.2323	0.1968	0.6158	0.0000	0.0000	0.0000	0.0000	0.2737	0.1689	0.1958	0.1968	0.5648
15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3078	0.1814	0.1993	0.7116	0.0000	0.0000	0.0000	0.0000	0.0000	0.2820	0.2305	0.2380	0.6495
16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2750	0.3666	0.3107	0.4476	0.0000	0.0000	0.0000	0.0000	0.0000	0.2898	0.3157	0.2935	0.5011
17.0000	0.0000	0.0000	0.0695	0.1878	0.0434	0.1045	0.2030	0.0818	0.2239	0.4861	0.0000	0.1019	0.0667	0.1101	0.0961	0.1356	0.1272	0.2134	0.5491
18.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2136	0.2490	0.3168	0.6207	0.0000	0.0000	0.0000	0.0000	0.0000	0.2136	0.2817	0.2142	0.6905
19.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2848	0.3914	0.2237	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1274	0.3991	0.3438	0.5297
20.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1722	0.3211	0.2038	0.7030	0.0000	0.0000	0.0000	0.0000	0.0000	0.2017	0.1686	0.1908	0.8389
21.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2267	0.1970	0.4802	0.4961	0.0000	0.0000	0.0000	0.0000	0.0000	0.2685	0.2099	0.2705	0.6510
22.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4921	0.1462	0.1118	0.6500	0.0000	0.0000	0.0000	0.0000	0.0000	0.3269	0.2000	0.1973	0.6759
23.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0318	0.1297	0.5258	0.7127	0.0000	0.0000	0.0000	0.0000	0.0000	0.1057	0.1292	0.3737	0.7915
24.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1418	0.2189	0.2858	0.7535	0.0000	0.0000	0.0000	0.0000	0.0000	0.1526	0.2037	0.2781	0.7656
25.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1024	0.1163	0.2928	0.2601	0.6284	0.0000	0.0000	0.0000	0.0000	0.2166	0.1580	0.1673	0.2564	0.6017
26.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2709	0.2383	0.2256	0.6652	0.0000	0.0000	0.0000	0.0000	0.0000	0.2489	0.2402	0.2180	0.6930
27.0000	0.0482	0.0868	0.0833	0.1054	0.0359	0.1661	0.0371	0.0642	0.2096	0.5635	0.1422	0.1409	0.0945	0.0481	0.0733	0.0865	0.0912	0.1113	0.6120
28.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0696	0.3198	0.1898	0.8208	0.0000	0.0000	0.0000	0.0000	0.0000	0.0541	0.3822	0.2371	0.7267
